,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,Jamestown,42.097,-79.2353,23.0,53,1,6.91,US,1612975041
115,Okhotsk,59.3833,143.3,20.79,91,98,20.96,RU,1612975181
116,Port Macquarie,-31.4333,152.9167,63.0,99,45,1.99,AU,1612975182
117,Cidreira,-30.1811,-50.2056,78.06,70,5,12.1,BR,1612975183
118,San Jerónimo,-11.9472,-75.2829,62.26,47,94,1.54,PE,1612975184
119,Kumul,42.8,93.45,31.3,81,59,9.37,CN,1612975148
120,Busselton,-33.65,115.3333,55.0,96,0,8.66,AU,1612975186
121,Ulladulla,-35.35,150.4667,64.4,88,90,4.61,AU,1612975187
122,Tuktoyaktuk,69.4541,-133.0374,-31.0,68,1,9.22,CA,1612975189
123,Pangnirtung,66.1451,-65.7125,6.8,66,1,2.3,CA,1612975190
124,Correntina,-13.3433,-44.6367,83.16,61,41,4.94,BR,1612975191
125,Bull Savanna,17.8868,-77.5902,81.59,60,10,10.94,JM,1612975192
126,Samarai,-10.6167,150.6667,81.99,77,95,12.28,PG,1612975193
127,Manta,-0.95,-80.7333,82.4,74,75,1.14,EC,1612975194
128,Sobolevo,54.4299,31.8996,1.11,93,93,7.09,RU,1612975196
129,Morón,-34.6534,-58.6198,80.01,57,69,8.01,AR,1612974907
130,Maţāy,28.419,30.7792,68.9,25,67,10.74,EG,1612975198
131,Yarmouth,41.7057,-70.2286,30.99,59,90,11.5,US,1612975199
132,Aquiraz,-3.9014,-38.3911,87.8,66,40,16.11,BR,1612975200
133,Monforte de Lemos,42.5216,-7.5142,52.0,75,69,8.99,ES,1612975201
134,Navahrudak,53.6,25.8333,6.89,96,100,7.65,BY,1612975202
135,Saint Paul Harbor,57.79,-152.4072,37.4,75,90,16.11,US,1612975204
136,Fes,34.0372,-4.9998,68.0,56,40,5.75,MA,1612975093
137,Prainha,-1.8,-53.48,80.15,78,100,2.91,BR,1612975206
138,Devin,41.7433,24.4,59.0,71,73,4.61,BG,1612975207
139,Rocha,-34.4833,-54.3333,78.13,66,18,10.33,UY,1612975208
140,Chimbote,-9.0853,-78.5783,78.33,59,93,9.89,PE,1612975210
141,Novo Aripuanã,-5.1206,-60.3797,82.08,89,73,3.91,BR,1612975211
142,Te Anau,-45.4167,167.7167,48.81,86,100,8.75,NZ,1612975212
143,Marrakesh,31.6315,-8.0083,73.4,43,0,3.44,MA,1612975213
144,Avera,33.194,-82.5271,68.0,88,75,6.91,US,1612975214
145,Saldanha,-33.0117,17.9442,80.6,47,0,12.66,ZA,1612975215
146,Kuji,40.1878,141.7689,31.35,91,11,14.18,JP,1612975150
147,Barrow,71.2906,-156.7887,-16.6,76,90,12.66,US,1612974774
148,Kidal,18.4411,1.4078,89.85,10,0,5.19,ML,1612975219
149,Kloulklubed,7.0419,134.2556,78.8,89,75,5.75,PW,1612975220
150,São Filipe,14.8961,-24.4956,72.97,69,27,8.9,CV,1612975221
151,São João da Barra,-21.6403,-41.0511,86.0,51,20,16.11,BR,1612975222
152,Vardø,70.3705,31.1107,21.2,68,40,27.63,NO,1612975224
153,Bethel,41.3712,-73.414,28.99,63,1,4.61,US,1612975225
154,Ribeira Grande,38.5167,-28.7,62.6,67,40,23.02,PT,1612975226
155,Coahuayana Viejo,18.7333,-103.6833,75.2,60,1,4.16,MX,1612975227
156,Vestmannaeyjar,63.4427,-20.2734,39.2,70,40,16.11,IS,1612975228
157,Tasiilaq,65.6145,-37.6368,12.2,62,75,2.3,GL,1612975229
158,Kapaa,22.0752,-159.319,69.8,52,20,17.27,US,1612975231
159,Catarama,-1.5833,-79.4667,82.13,83,98,2.73,EC,1612975232
160,Port-Gentil,-0.7193,8.7815,87.8,74,40,9.22,GA,1612975233
161,Rovenki,48.0833,39.3776,37.35,100,100,11.14,UA,1612975234
162,Vila Velha,-20.3297,-40.2925,86.0,62,40,10.36,BR,1612975235
163,Dolores Hidalgo Cuna de la Independencia Nacional,21.1561,-100.9308,66.0,42,0,6.46,MX,1612975236
164,Nieves,15.3274,120.9485,73.4,100,75,4.61,PH,1612975238
165,Kalmunai,7.4167,81.8167,73.29,77,76,8.19,LK,1612975239
166,Vao,-22.6667,167.4833,76.41,84,0,14.07,NC,1612975240
167,Sioux Lookout,50.1001,-91.917,-20.2,76,20,4.72,CA,1612975241
168,Bara,10.3744,10.7288,95.0,5,0,5.75,NG,1612975242
169,DeLand,29.0283,-81.3031,79.0,83,40,5.75,US,1612975243
170,Sos'va,59.1766,61.8558,-18.2,86,0,3.22,RU,1612975244
171,Beringovskiy,63.05,179.3167,-19.44,87,19,11.5,RU,1612975246
172,Muros,42.7762,-9.0603,55.99,68,98,5.01,ES,1612975247
173,Olinda,-8.0089,-34.8553,84.2,65,40,11.5,BR,1612975248
174,San Policarpo,12.1791,125.5072,80.26,86,59,11.05,PH,1612975249
175,Unaí,-16.3575,-46.9061,84.6,57,33,4.18,BR,1612975250
176,Nuuk,64.1835,-51.7216,26.6,93,75,5.75,GL,1612975251
177,Fortuna,40.5982,-124.1573,41.0,100,90,5.75,US,1612975252
178,Mar del Plata,-38.0023,-57.5575,71.6,73,40,17.27,AR,1612975081
179,Bathsheba,13.2167,-59.5167,84.2,54,40,23.02,BB,1612975255
180,Kuminskiy,58.6667,66.5667,-19.98,86,0,3.8,RU,1612975256
181,Atambua,-9.1061,124.8925,74.89,87,100,1.66,ID,1612975257
182,Fairbanks,64.8378,-147.7164,-9.4,70,90,3.56,US,1612975258
183,Almaznyy,48.0448,40.045,37.4,93,20,13.42,RU,1612975260
184,Shimoda,34.6667,138.95,39.99,65,8,1.99,JP,1612975261
185,Kaura Namoda,12.5898,6.5779,89.87,11,0,7.16,NG,1612975262
186,Belaya Gora,68.5333,146.4167,-17.63,89,31,0.87,RU,1612975263
187,Westport,41.1415,-73.3579,30.0,59,1,5.75,US,1612975011
